Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
284,KJ Martin,24,PHI,PF,24,7,480,.616,.679,.381,.657,.828,.689,.293,.212,132,125,106,121,106,120,121,50,22.5,25.2,,martike04
284,KJ Martin,24,UTA,SF,19,9,432,.490,.662,.189,.525,.722,.546,.176,.363,105,121,53,97,93,95,73,86,-3.8,-6.7,,martike04
285,Jaden Hardy,22,DAL,SG,57,3,907,.435,.479,.386,.527,.698,.549,.208,.476,93,88,107,97,89,95,86,113,-13.7,-24.7,,hardyja02
286,Day'Ron Sharpe,23,BRK,C,50,2,907,.521,.566,.244,.538,.757,.568,.233,.142,111,104,68,99,97,99,96,34,-3.3,-5.8,,sharpda01
287,Adem Bona,21,PHI,C,58,11,905,.703,.707,.000,.703,.670,.714,.521,.005,150,130,0,129,86,124,214,1,61.5,65.0,,bonaad01
288,Tre Jones,25,2TM,PG,46,9,905,.538,.574,.396,.578,.821,.617,.282,.202,115,105,110,106,105,107,116,48,16.5,21.8,,jonestr01
288,Tre Jones,25,SAS,PG,28,0,450,.484,.552,.308,.527,.758,.572,.355,.280,104,101,85,97,97,99,146,66,-3.0,-0.9,,jonestr01
288,Tre Jones,25,CHI,PG,18,9,455,.572,.585,.500,.610,.882,.647,.234,.152,123,107,139,112,113,112,97,36,19.5,22.7,,jonestr01
289,Jaden Ivey,22,DET,SG,30,30,898,.460,.490,.409,.536,.733,.569,.281,.373,98,90,114,99,94,99,116,89,-5.6,-6.7,,iveyja01
290,Kelly Olynyk,33,2TM,C,44,22,891,.500,.534,.418,.562,.769,.609,.403,.295,107,98,116,103,99,106,166,70,9.9,20.4,,olynyke01
290,Kelly Olynyk,33,TOR,C,24,2,383,.500,.533,.442,.581,.791,.624,.364,.364,107,98,123,107,101,108,150,87,8.8,13.2,,olynyke01
290,Kelly Olynyk,33,NOP,C,20,20,508,.500,.535,.389,.547,.754,.596,.433,.240,107,98,108,101,97,103,178,57,1.1,7.2,,olynyke01
291,Chet Holmgren,22,OKC,C,32,32,877,.490,.547,.379,.554,.754,.599,.393,.340,105,100,105,102,97,104,162,81,7.6,18.1,,holmgch01
292,Neemias Queta,25,BOS,C,62,6,863,.650,.660,.000,.650,.754,.674,.300,.015,139,121,0,120,97,117,124,4,43.5,45.1,,quetane01
293,Alec Burks,33,MIA,SG,49,14,863,.424,.422,.425,.587,.776,.608,.181,.764,91,77,118,108,99,106,74,181,23.7,18.9,,burksal01
