Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
373,Jamal Cain,25,NOP,SF,37,0,502,.430,.538,.325,.513,.680,.544,.316,.506,92,99,90,94,87,94,130,120,-9.6,-11.4,,cainja01
374,Keaton Wallace,25,ATL,PG,31,5,501,.401,.475,.329,.485,1.000,.503,.068,.506,86,87,91,89,128,87,28,120,-19.0,-24.3,,wallake01
375,Jock Landale,29,HOU,C,42,3,500,.533,.556,.423,.569,.675,.590,.263,.171,114,102,117,105,87,102,108,41,7.9,4.6,,landajo01
376,Vince Williams Jr.,24,MEM,SG,27,5,499,.401,.569,.274,.479,.792,.504,.144,.569,86,104,76,88,102,87,59,135,-21.4,-25.6,,willivi01
377,Wendell Moore Jr.,23,2TM,SG,36,1,499,.468,.529,.341,.524,.818,.553,.175,.325,100,97,95,96,105,96,72,77,-4.8,-6.3,,moorewe01
377,Wendell Moore Jr.,23,DET,SG,20,1,219,.460,.528,.286,.500,.929,.561,.280,.280,98,97,79,92,119,97,115,66,-4.3,-1.7,,moorewe01
377,Wendell Moore Jr.,23,CHO,SG,16,0,280,.474,.531,.370,.539,.625,.547,.105,.355,101,97,103,99,80,95,43,84,-0.5,-4.6,,moorewe01
378,Brandon Williams,25,DAL,PG,33,3,487,.521,.578,.400,.585,.833,.634,.351,.319,112,106,111,108,107,110,145,76,15.8,24.9,,willibr03
379,A.J. Lawson,24,TOR,SG,26,2,486,.421,.528,.327,.508,.683,.542,.332,.532,90,97,91,94,88,94,137,126,-13.4,-14.9,,lawsoaj01
380,Grant Williams,26,CHO,PF,16,7,479,.439,.551,.365,.549,.838,.596,.301,.602,94,101,101,101,107,103,124,143,1.4,5.5,,willigr01
381,Lonnie Walker IV,26,PHI,SG,20,7,477,.420,.518,.354,.526,.800,.548,.142,.599,90,95,98,97,103,95,58,142,-7.3,-12.5,,walkelo01
382,Duop Reath,28,POR,C,46,0,469,.422,.600,.321,.524,.909,.552,.133,.639,90,110,89,97,117,96,55,152,-6.3,-8.4,,reathdu01
383,Reece Beekman,23,2TM,PG,36,4,469,.327,.418,.175,.360,.762,.400,.196,.374,70,77,49,66,98,69,81,89,-39.2,-41.0,,beekmre01
383,Reece Beekman,23,GSW,PG,2,0,4,1.000,1.000,,1.000,,1.000,.000,.000,214,183,,184,,174,0,0,0.9,0.8,,beekmre01
383,Reece Beekman,23,BRK,PG,34,4,465,.321,.409,.175,.354,.762,.395,.198,.377,69,75,49,65,98,69,82,90,-40.1,-41.8,,beekmre01
384,Kai Jones,24,2TM,C,40,6,468,.798,.827,.200,.803,.719,.804,.294,.046,171,152,56,148,92,140,121,11,56.6,56.1,,joneska01
384,Kai Jones,24,LAC,C,28,0,208,.722,.765,.000,.722,.750,.739,.333,.056,155,140,0,133,96,128,137,13,12.9,13.4,,joneska01
384,Kai Jones,24,DAL,C,12,6,260,.836,.857,.333,.842,.700,.837,.274,.041,179,157,93,155,90,145,113,10,43.7,42.7,,joneska01
385,Larry Nance Jr.,32,ATL,PF,24,3,463,.516,.582,.447,.626,.692,.632,.084,.490,110,107,124,115,89,110,35,116,25.6,17.8,,nancela02
386,Collin Gillespie,25,PHO,PG,33,9,461,.430,.426,.433,.554,.864,.578,.139,.570,92,78,120,102,111,100,57,135,3.4,0.8,,gilleco01
387,Rayan Rupert,20,POR,SG,52,0,460,.408,.506,.271,.465,.767,.499,.211,.415,87,93,75,86,98,87,87,99,-22.2,-23.8,,ruperra01
388,GG Jackson II,20,MEM,PF,29,3,459,.372,.404,.337,.452,.725,.482,.201,.477,80,74,94,83,93,84,83,113,-36.1,-40.6,,jacksgg01
389,Jaylon Tyson,22,CLE,SG,47,3,453,.430,.484,.345,.497,.792,.523,.161,.389,92,89,96,91,102,91,66,92,-13.8,-16.9,,tysonja01
390,Bol Bol,25,PHO,PF,36,10,448,.525,.711,.344,.612,.769,.627,.142,.508,112,130,96,113,99,109,59,121,25.2,19.9,,bolbo01
391,Paul Reed,25,DET,C,45,0,438,.507,.561,.286,.535,.762,.573,.296,.197,109,103,79,99,98,99,122,47,-2.2,-0.9,,reedpa01
392,Colin Castleton,24,3TM,C,26,4,432,.469,.537,.125,.480,.763,.536,.388,.163,100,98,35,88,98,93,160,39,-12.5,-9.2,,castlco01
392,Colin Castleton,24,MEM,C,10,0,46,.200,.333,.000,.200,.909,.472,1.100,.400,43,61,0,37,117,82,453,95,-6.9,-3.1,,castlco01
392,Colin Castleton,24,TOR,C,11,4,288,.500,.536,.250,.516,.722,.549,.281,.125,107,98,69,95,93,95,116,30,-3.5,-3.9,,castlco01
392,Colin Castleton,24,PHI,C,5,0,98,.500,.600,.000,.500,.667,.536,.375,.167,107,110,0,92,85,93,154,40,-2.1,-2.2,,castlco01
393,Trevelin Queen,27,ORL,SG,31,2,430,.381,.486,.286,.456,.857,.486,.143,.524,82,89,79,84,110,84,59,124,-25.7,-28.0,,queentr01
394,Malaki Branham,21,SAS,SG,47,0,427,.458,.500,.405,.547,.818,.575,.174,.442,98,92,112,101,105,100,72,105,1.6,-0.7,,branhma01
395,Jordan Miller,25,LAC,SF,37,0,420,.433,.521,.211,.463,.800,.509,.261,.284,93,96,58,85,103,88,108,67,-21.5,-20.2,,millejo02
396,Mo Bamba,26,2TM,C,32,2,413,.464,.638,.278,.531,.704,.557,.241,.482,99,117,77,98,90,97,99,114,-2.7,-4.8,,bambamo01
396,Mo Bamba,26,LAC,C,28,2,352,.466,.623,.300,.539,.680,.561,.243,.485,100,114,83,99,87,97,100,115,-0.9,-3.4,,bambamo01
396,Mo Bamba,26,NOP,C,4,0,61,.444,.800,.000,.444,1.000,.506,.222,.444,95,147,0,82,128,88,92,106,-1.8,-1.4,,bambamo01
397,David Roddy,23,3TM,PF,33,3,410,.456,.594,.311,.532,.769,.561,.208,.488,98,109,86,98,99,97,86,116,-2.7,-4.2,,roddyda01
397,David Roddy,23,ATL,PF,27,3,346,.473,.560,.372,.559,.818,.594,.237,.462,101,103,103,103,105,103,97,110,3.0,3.7,,roddyda01
397,David Roddy,23,PHI,PF,3,0,29,.421,.750,.182,.474,,.474,.000,.579,90,138,50,87,,82,0,137,-2.6,-3.9,,roddyda01
397,David Roddy,23,HOU,PF,3,0,35,.385,.667,.143,.423,.500,.440,.308,.538,82,122,40,78,64,76,127,128,-3.1,-4.0,,roddyda01
398,Taj Gibson,39,CHO,C,37,11,409,.495,.495,.500,.500,.600,.515,.211,.021,106,91,139,92,77,89,87,5,-8.2,-12.6,,gibsota01
399,Ousmane Dieng,21,OKC,C,37,1,405,.432,.574,.324,.524,.688,.538,.128,.568,92,105,90,96,88,93,53,135,-4.8,-10.2,,diengou01
400,Jordan Walsh,20,BOS,PF,52,1,403,.361,.536,.273,.452,.583,.464,.145,.663,77,98,76,83,75,81,60,157,-15.1,-19.7,,walshjo01
401,Hunter Tyson,24,DEN,PF,51,2,400,.375,.478,.311,.471,.750,.506,.233,.617,80,88,86,87,96,88,96,146,-17.3,-18.5,,tysonhu01
402,Anthony Gill,32,WAS,PF,51,0,397,.489,.579,.323,.545,.660,.586,.568,.352,105,106,90,100,85,102,234,84,0.4,2.2,,gillan01
403,Devin Carter,22,SAC,PG,36,0,396,.370,.439,.295,.441,.591,.471,.346,.480,79,81,82,81,76,82,143,114,-25.9,-30.7,,cartede02
404,Jeff Green,38,HOU,PF,32,3,396,.504,.762,.367,.624,.808,.649,.215,.653,108,140,102,115,104,113,88,155,19.6,19.4,,greenje02
405,Trey Jemison,25,2TM,C,38,0,392,.554,.554,,.554,.394,.537,.446,.000,119,102,,102,51,93,184,0,1.6,-7.0,,jemistr01
405,Trey Jemison,25,NOP,C,16,0,166,.469,.469,,.469,.381,.461,.656,.000,100,86,,86,49,80,270,0,-4.8,-9.5,,jemistr01
405,Trey Jemison,25,LAL,C,22,0,226,.619,.619,,.619,.417,.603,.286,.000,132,114,,114,53,105,118,0,6.4,2.5,,jemistr01
406,Reggie Jackson,34,PHI,PG,31,1,384,.391,.458,.338,.485,.778,.496,.068,.556,84,84,94,89,100,86,28,132,-15.5,-21.8,,jacksre01
407,Baylor Scheierman,24,BOS,SG,31,2,384,.355,.464,.317,.473,.750,.490,.109,.745,76,85,88,87,96,85,45,177,-15.5,-19.8,,scheiba01
408,Quenton Jackson,26,IND,PG,28,7,381,.475,.524,.375,.537,.775,.580,.328,.328,102,96,104,99,99,101,135,78,-1.5,1.1,,jacksqu01
409,Alex Len,31,2TM,C,46,7,380,.508,.556,.222,.524,.471,.525,.270,.143,109,102,62,96,60,91,111,34,-2.4,-7.2,,lenal01
409,Alex Len,31,SAC,C,36,3,258,.537,.600,.167,.549,.538,.557,.317,.146,115,110,46,101,69,97,131,35,0.5,-1.8,,lenal01
409,Alex Len,31,LAL,C,10,4,122,.455,.474,.333,.477,.250,.463,.182,.136,97,87,93,88,32,80,75,32,-2.9,-5.4,,lenal01
410,Johnny Furphy,20,IND,SG,50,0,379,.380,.476,.300,.462,.818,.506,.239,.543,81,87,83,85,105,88,98,129,-14.9,-14.2,,furphjo01
411,Charles Bassey,24,SAS,C,36,1,376,.581,.581,,.581,.636,.597,.282,.000,124,107,,107,82,104,116,0,8.9,5.4,,bassech01
412,Dominick Barlow,21,ATL,SF,35,4,375,.531,.616,.259,.562,.636,.580,.292,.239,114,113,72,103,82,101,120,57,4.3,1.0,,barlodo01
413,Dante Exum,29,DAL,PG,20,13,372,.478,.506,.434,.563,.742,.589,.231,.396,102,93,120,104,95,102,95,94,5.5,3.9,,exumda01
414,Damion Baugh,24,CHO,SG,15,2,370,.323,.405,.214,.369,.867,.399,.115,.431,69,74,59,68,111,69,48,102,-45.2,-48.4,,baughda01
415,Jaden Springer,22,2TM,SG,43,2,365,.389,.548,.250,.456,.711,.511,.422,.533,83,100,69,84,91,89,174,127,-15.7,-14.0,,sprinja01
415,Jaden Springer,22,BOS,SG,26,0,141,.353,.400,.316,.441,.714,.520,.618,.559,76,73,88,81,92,90,254,133,-6.9,-4.8,,sprinja01
415,Jaden Springer,22,UTA,PG,17,2,224,.411,.630,.207,.464,.706,.504,.304,.518,88,116,57,85,91,87,125,123,-8.8,-9.2,,sprinja01
416,Robert Williams,27,POR,C,20,3,351,.641,.653,.333,.647,.882,.679,.218,.038,137,120,93,119,113,118,90,9,16.3,17.5,,williro04
417,Doug McDermott,33,SAC,SF,42,3,342,.427,.375,.436,.615,.600,.617,.043,.863,91,69,121,113,77,107,18,205,16.9,9.6,,mcderdo01
418,Christian Koloko,24,LAL,C,37,0,342,.606,.645,.000,.606,.714,.624,.212,.061,130,118,0,112,92,108,87,14,8.3,6.8,,kolokch01
419,Terrence Shannon Jr.,24,MIN,SG,32,1,339,.482,.530,.355,.531,.810,.560,.184,.272,103,97,99,98,104,97,76,65,-2.8,-4.0,,shannte01
420,Keion Brooks Jr.,24,NOP,SF,14,6,332,.486,.591,.326,.550,.733,.581,.275,.394,104,108,90,101,94,101,113,94,1.6,1.2,,brookke02
421,Tristan Thompson,33,CLE,C,40,0,328,.437,.456,.000,.437,.233,.410,.423,.042,93,84,0,80,30,71,174,10,-15.1,-28.0,,thomptr01
422,Maxwell Lewis,22,2TM,SF,28,1,327,.417,.448,.380,.505,.700,.516,.093,.463,89,82,105,93,90,90,38,110,-8.3,-13.5,,lewisma05
422,Maxwell Lewis,22,LAL,SF,7,0,29,.333,.333,,.333,,.333,.000,.000,71,61,,61,,58,0,0,-2.5,-2.9,,lewisma05
422,Maxwell Lewis,22,BRK,SF,21,1,298,.422,.462,.380,.515,.700,.526,.098,.490,90,85,105,95,90,91,40,116,-5.8,-10.6,,lewisma05
423,Jevon Carter,29,CHI,PG,36,1,321,.377,.488,.333,.497,.800,.509,.068,.719,81,89,93,91,103,88,28,171,-13.6,-20.3,,carteje01
424,Patty Mills,36,2TM,PG,29,0,321,.375,.476,.347,.510,.929,.543,.146,.781,80,87,96,94,119,94,60,186,-6.2,-6.7,,millspa02
424,Patty Mills,36,UTA,PG,17,0,260,.342,.474,.298,.454,1.000,.473,.066,.750,73,87,83,84,128,82,27,178,-13.5,-16.1,,millspa02
424,Patty Mills,36,LAC,PG,12,0,61,.500,.500,.500,.725,.889,.772,.450,.900,107,92,139,134,114,134,185,214,7.3,9.4,,millspa02
425,Tre Mann,23,CHO,PG,13,0,319,.435,.455,.400,.509,.905,.537,.130,.373,93,84,111,94,116,93,54,88,-10.9,-13.2,,manntr01
426,Jalen Hood-Schifino,21,2TM,SG,15,0,315,.378,.442,.304,.449,.857,.494,.214,.469,81,81,84,83,110,86,88,111,-18.5,-17.6,,hoodsja01
426,Jalen Hood-Schifino,21,LAL,SG,2,0,14,1.000,1.000,,1.000,1.000,1.064,2.000,.000,214,183,,184,128,185,824,0,0.9,1.8,,hoodsja01
426,Jalen Hood-Schifino,21,PHI,SG,13,0,301,.371,.431,.304,.443,.842,.484,.196,.474,79,79,84,82,108,84,81,113,-19.4,-19.4,,hoodsja01
427,Torrey Craig,34,2TM,SF,26,4,314,.422,.583,.364,.556,.667,.567,.133,.733,90,107,101,102,85,98,55,174,2.2,-1.8,,craigto01
427,Torrey Craig,34,CHI,SF,9,1,113,.489,.700,.429,.656,.750,.663,.089,.778,105,128,119,121,96,115,37,185,10.1,8.1,,craigto01
427,Torrey Craig,34,BOS,SF,17,3,201,.356,.500,.290,.456,.625,.474,.178,.689,76,92,81,84,80,82,73,164,-7.9,-9.9,,craigto01
428,Jordan McLaughlin,28,2TM,PG,46,0,314,.431,.462,.413,.563,.773,.600,.306,.639,92,85,115,104,99,104,126,152,2.8,3.9,,mclaujo01
428,Jordan McLaughlin,28,SAC,PG,28,0,190,.364,.333,.385,.477,.688,.519,.364,.591,78,61,107,88,88,90,150,140,-5.8,-5.8,,mclaujo01
428,Jordan McLaughlin,28,SAS,PG,18,0,124,.536,.750,.450,.696,1.000,.734,.214,.714,115,138,125,128,128,127,88,170,8.6,9.7,,mclaujo01
429,Matisse Thybulle,27,POR,SG,15,5,312,.477,.525,.438,.597,.467,.592,.170,.545,102,96,121,110,60,103,70,130,9.4,3.0,,thybuma01
430,Isaac Jones,24,SAC,PF,40,0,304,.651,.680,.375,.669,.639,.678,.434,.096,139,125,104,123,82,118,179,23,20.9,20.1,,jonesis01
431,Tyler Kolek,23,NYK,PG,41,0,296,.329,.371,.298,.415,.765,.453,.207,.573,70,68,83,76,98,79,85,136,-21.1,-22.1,,kolekty01
432,Mitchell Robinson,26,NYK,C,17,3,290,.661,.661,,.661,.684,.676,.339,.000,141,121,,122,88,117,140,0,13.2,12.8,,robinmi01
433,Josh Minott,22,MIN,SF,46,0,276,.489,.638,.326,.567,.895,.605,.211,.478,105,117,90,104,115,105,87,113,4.2,5.7,,minotjo01
434,Kobe Brown,25,LAC,PF,40,0,272,.458,.587,.231,.500,.714,.513,.097,.361,98,108,64,92,92,89,40,86,-6.2,-9.5,,brownko01
435,Dru Smith,27,MIA,SG,14,1,268,.508,.484,.533,.639,.750,.656,.197,.492,109,89,148,118,96,114,81,117,11.7,10.6,,smithdr01
436,Isaiah Wong,24,CHO,SG,20,0,265,.390,.389,.394,.452,.735,.500,.324,.314,84,71,109,83,94,87,133,75,-19.0,-18.2,,wongis01
437,Marvin Bagley III,25,2TM,PF,31,2,265,.519,.598,.158,.533,.657,.560,.330,.179,111,110,44,98,84,97,136,43,-2.1,-3.9,,baglema01
437,Marvin Bagley III,25,WAS,C,19,1,166,.535,.590,.200,.549,.652,.573,.324,.141,115,108,56,101,84,99,133,33,0.9,-0.5,,baglema01
437,Marvin Bagley III,25,MEM,PF,12,1,99,.486,.615,.111,.500,.667,.534,.343,.257,104,113,31,92,85,93,141,61,-3.0,-3.4,,baglema01
438,Oscar Tshiebwe,25,UTA,C,14,1,255,.600,.600,,.600,.742,.640,.443,.000,128,110,,110,95,111,182,0,8.0,10.6,,tshieos01
439,Drew Timme,24,BRK,PF,9,2,254,.441,.537,.257,.485,.625,.500,.157,.343,94,99,71,89,80,87,65,81,-11.8,-16.7,,timmedr01
440,Marcus Bagley,23,PHI,SF,10,4,253,.391,.595,.156,.428,.800,.456,.145,.464,84,109,43,79,103,79,60,110,-15.9,-17.6,,baglema02
441,Cam Spencer,24,MEM,SG,25,1,252,.415,.517,.358,.530,1.000,.587,.232,.646,89,95,100,98,128,102,95,153,-2.1,1.9,,spencca01
442,Kevin Love,36,MIA,PF,23,9,251,.357,.354,.358,.461,.696,.488,.200,.583,76,65,99,85,89,85,82,138,-18.9,-22.2,,loveke01
443,Pat Spencer,28,GSW,PG,39,0,250,.406,.456,.227,.431,.733,.455,.149,.218,87,84,63,79,94,79,61,52,-22.7,-26.0,,spencpa01
444,JT Thor,22,2TM,PF,20,0,249,.424,.500,.286,.475,.682,.517,.373,.356,91,92,79,87,87,90,154,85,-8.1,-8.1,,thorjt01
444,JT Thor,22,CLE,PF,9,0,42,.600,.667,.500,.700,.875,.756,.533,.400,128,122,139,129,112,131,220,95,4.7,6.7,,thorjt01
444,JT Thor,22,WAS,PF,11,0,207,.364,.448,.200,.398,.571,.429,.318,.341,78,82,56,73,73,74,131,81,-12.8,-14.8,,thorjt01
445,Branden Carlson,25,OKC,C,32,0,246,.443,.677,.333,.557,.778,.581,.186,.680,95,124,93,103,100,101,76,162,2.6,1.1,,carlsbr01
446,Dariq Whitehead,20,BRK,SF,20,0,246,.406,.273,.446,.578,.600,.580,.052,.771,87,50,124,106,77,101,21,183,6.7,0.8,,whiteda01
447,Johnny Davis,22,WAS,SG,34,0,242,.410,.510,.241,.455,.600,.473,.192,.372,88,94,67,84,77,82,79,88,-13.7,-17.5,,davisjo06
448,Jaylen Martin,21,2TM,SF,16,0,239,.419,.471,.304,.466,.900,.497,.135,.311,90,86,84,86,115,86,56,74,-11.4,-12.3,,martija02
448,Jaylen Martin,21,BRK,SF,3,0,5,.500,.000,1.000,.750,,.750,.000,.500,107,0,278,138,,130,0,119,0.8,0.7,,martija02
448,Jaylen Martin,21,WAS,SF,13,0,234,.417,.480,.273,.458,.900,.491,.139,.306,89,88,76,84,115,85,57,73,-12.2,-13.0,,martija02
449,Bones Hyland,24,2TM,PG,24,0,239,.398,.417,.390,.534,.885,.576,.220,.695,85,76,108,98,113,100,91,165,-2.2,-0.2,,hylanbo01
449,Bones Hyland,24,LAC,PG,20,0,222,.391,.400,.388,.526,.885,.569,.226,.696,84,73,108,97,113,99,93,165,-3.9,-1.7,,hylanbo01
449,Bones Hyland,24,MIN,PG,4,0,17,.667,1.000,.500,.833,,.833,.000,.667,143,183,139,153,,145,0,158,1.7,1.5,,hylanbo01
450,Xavier Tillman Sr.,26,BOS,C,33,2,231,.245,.381,.156,.292,.750,.310,.075,.604,52,70,43,54,96,54,31,143,-26.6,-29.1,,tillmxa01
451,Garrett Temple,38,TOR,SG,28,0,227,.300,.375,.214,.350,.917,.406,.200,.467,64,69,59,64,118,70,82,111,-23.2,-22.2,,templga01
452,Jared Rhoden,25,2TM,SG,14,2,227,.483,.625,.308,.552,.880,.602,.287,.448,103,115,85,102,113,104,118,106,1.5,5.1,,rhodeja01
452,Jared Rhoden,25,CHO,SG,4,0,12,.250,.333,.000,.250,,.250,.000,.250,54,61,0,46,,43,0,59,-4.7,-5.2,,rhodeja01
452,Jared Rhoden,25,TOR,SG,10,2,215,.506,.667,.324,.582,.880,.633,.316,.468,108,122,90,107,113,110,130,111,6.2,10.3,,rhodeja01
453,Luka Garza,26,MIN,C,39,0,219,.495,.609,.278,.543,.686,.573,.333,.343,106,112,77,100,88,99,137,81,0.0,-0.7,,garzalu01
454,Ariel Hukporti,22,NYK,C,25,1,217,.677,.677,,.677,.462,.654,.419,.000,145,124,,125,59,113,173,0,8.3,5.7,,hukpoar01
455,Alex Reese,25,2TM,PF,15,0,216,.481,.846,.366,.620,.750,.641,.222,.759,103,155,102,114,96,111,92,180,8.3,7.6,,reeseal01
455,Alex Reese,25,OKC,PF,1,0,2,1.000,1.000,,1.000,,1.000,.000,.000,214,183,,184,,174,0,0,0.9,0.8,,reeseal01
455,Alex Reese,25,PHI,PF,14,0,214,.472,.833,.366,.613,.750,.635,.226,.774,101,153,102,113,96,110,93,184,7.4,6.8,,reeseal01
456,Dario Šarić,30,DEN,C,16,4,210,.362,.438,.269,.422,.700,.449,.172,.448,77,80,75,78,90,78,71,106,-14.0,-15.9,,saricda01
457,Adam Flagler,25,OKC,SG,37,0,203,.260,.458,.194,.333,.500,.335,.021,.750,56,84,54,61,64,58,9,178,-40.3,-46.6,,flaglad01
458,Chuma Okeke,26,2TM,PF,9,3,196,.500,.750,.393,.638,.667,.641,.075,.700,107,138,109,117,85,111,31,166,7.6,5.4,,okekech01
458,Chuma Okeke,26,PHI,PF,7,3,171,.545,.727,.455,.697,.667,.699,.091,.667,117,133,126,128,85,121,37,158,10.2,8.5,,okekech01
458,Chuma Okeke,26,CLE,PF,2,0,25,.286,1.000,.167,.357,,.357,.000,.857,61,183,46,66,,62,0,204,-2.6,-3.1,,okekech01
459,Drew Peterson,25,BOS,PF,25,1,186,.415,.500,.394,.573,.778,.601,.220,.805,89,92,109,106,100,104,90,191,2.5,2.2,,peterdr01
460,Markelle Fultz,26,SAC,PG,21,0,184,.418,.407,.500,.448,1.000,.452,.015,.119,89,75,139,82,128,78,6,28,-12.8,-16.7,,fultzma01
461,Lester Quiñones,24,2TM,SG,13,0,183,.397,.529,.295,.481,.846,.514,.167,.564,85,97,82,89,109,89,69,134,-9.7,-10.5,,quinole01
461,Lester Quiñones,24,PHI,SG,4,0,17,.500,.800,.000,.500,1.000,.533,.125,.375,107,147,0,92,128,93,51,89,-0.7,-0.7,,quinole01
461,Lester Quiñones,24,NOP,SG,9,0,166,.386,.483,.317,.479,.833,.511,.171,.586,83,89,88,88,107,89,71,139,-9.0,-9.8,,quinole01
462,Bronny James,20,LAL,SG,27,1,181,.313,.343,.281,.381,.786,.424,.209,.478,67,63,78,70,101,74,86,113,-21.8,-22.3,,jamesbr02
463,Enrique Freeman,24,IND,PF,22,1,181,.432,.556,.100,.446,.684,.507,.514,.270,93,102,28,82,88,88,211,64,-7.2,-6.3,,freemen01
464,Cole Swider,25,2TM,SF,10,0,169,.349,.438,.319,.468,.000,.465,.016,.746,75,80,89,86,0,81,7,177,-9.4,-14.1,,swideco01
464,Cole Swider,25,DET,SF,2,0,13,.000,,.000,.000,,.000,.000,1.000,0,,0,0,,0,0,237,-5.4,-5.8,,swideco01
464,Cole Swider,25,TOR,SF,8,0,156,.379,.438,.357,.509,.000,.505,.017,.724,81,80,99,94,0,88,7,172,-4.0,-8.3,,swideco01
465,Jaylen Nowell,25,NOP,SG,8,0,168,.356,.391,.296,.411,.636,.430,.151,.370,76,72,82,76,82,75,62,88,-19.3,-22.7,,nowelja01
466,Markieff Morris,35,2TM,PF,15,2,165,.300,.353,.250,.364,.833,.385,.086,.514,64,65,69,67,107,67,35,122,-25.0,-27.8,,morrima02
466,Markieff Morris,35,DAL,PF,7,0,41,.227,.333,.154,.273,,.273,.000,.591,49,61,43,50,,47,0,140,-11.9,-13.4,,morrima02
466,Markieff Morris,35,LAL,PF,8,2,124,.333,.360,.304,.406,.833,.434,.125,.479,71,66,84,75,107,75,51,114,-13.1,-14.4,,morrima02
467,Killian Hayes,23,BRK,PG,6,5,162,.419,.455,.381,.512,.833,.559,.279,.488,90,83,106,94,107,97,115,116,-2.7,-1.6,,hayeski01
468,MarJon Beauchamp,24,3TM,SF,35,0,156,.415,.472,.345,.492,.750,.535,.308,.446,89,87,96,91,96,93,127,106,-6.5,-6.0,,beaucma01
468,MarJon Beauchamp,24,MIL,SF,26,0,122,.383,.423,.333,.457,.750,.497,.255,.447,82,78,93,84,96,86,105,106,-8.0,-8.2,,beaucma01
468,MarJon Beauchamp,24,LAC,SF,3,0,17,.571,.500,.667,.714,.500,.685,.571,.429,122,92,185,132,64,119,235,102,2.4,1.9,,beaucma01
468,MarJon Beauchamp,24,NYK,SF,6,0,17,.455,.667,.200,.500,1.000,.588,.364,.455,97,122,56,92,128,102,150,108,-0.9,0.3,,beaucma01
469,Lamar Stevens,27,MEM,PF,17,1,155,.460,.583,.296,.524,.727,.545,.175,.429,99,107,82,96,93,95,72,102,-2.4,-4.2,,stevela01
470,Tyson Etienne,25,BRK,PG,7,0,151,.327,.500,.295,.452,.800,.488,.192,.846,70,92,82,83,103,85,79,201,-9.5,-10.0,,etienty01
471,Josh Richardson,31,MIA,SG,8,0,150,.289,.313,.273,.368,1.000,.402,.105,.579,62,57,76,68,128,70,43,137,-13.3,-13.8,,richajo01
472,Jeenathan Williams,25,HOU,SG,20,0,147,.435,.583,.231,.484,.625,.496,.129,.419,93,107,64,89,80,86,53,100,-7.3,-10.5,,willije02
473,Bruno Fernando,26,TOR,C,17,2,147,.531,.531,,.531,.750,.552,.163,.000,114,97,,98,96,96,67,0,-1.2,-2.5,,fernabr01
474,Damion Lee,32,PHO,SG,25,0,144,.365,.486,.243,.426,.952,.499,.284,.500,78,89,68,78,122,87,117,119,-17.4,-12.9,,leeda03
475,Oshae Brissett,26,PHI,SF,6,2,142,.487,.619,.333,.564,.571,.576,.359,.462,104,114,93,104,73,100,148,110,1.6,0.0,,brissos01
476,Elijah Harkless,24,UTA,SG,10,0,138,.314,.400,.280,.414,.500,.425,.171,.714,67,73,78,76,64,74,71,170,-9.0,-11.4,,harklej01
477,Pete Nance,24,2TM,PF,13,1,138,.438,.625,.375,.578,.500,.578,.063,.750,94,115,104,106,64,100,26,178,2.2,0.1,,nancepe01
477,Pete Nance,24,PHI,C,7,0,68,.333,.333,.333,.467,.500,.472,.133,.800,71,61,93,86,64,82,55,190,-2.3,-3.3,,nancepe01
477,Pete Nance,24,MIL,PF,6,1,70,.529,.800,.417,.676,,.676,.000,.706,113,147,116,125,,117,0,168,4.5,3.4,,nancepe01
478,Vlatko Čančar,27,DEN,PF,13,0,136,.385,.545,.267,.462,,.462,.000,.577,82,100,74,85,,80,0,137,-4.2,-6.0,,cancavl01
479,Kylor Kelley,27,2TM,C,11,2,126,.636,.636,,.636,.600,.644,.455,.000,136,117,,117,77,112,187,0,4.1,3.6,,kelleky01
479,Kylor Kelley,27,DAL,C,8,1,67,.769,.769,,.769,.667,.767,.462,.000,165,141,,142,85,133,190,0,5.9,6.0,,kelleky01
479,Kylor Kelley,27,NOP,C,3,1,59,.444,.444,,.444,.500,.465,.444,.000,95,82,,82,64,81,183,0,-1.8,-2.4,,kelleky01
480,Alex Ducas,24,OKC,SG,21,0,125,.400,.222,.476,.567,1.000,.583,.067,.700,86,41,132,104,128,101,27,166,1.4,0.4,,ducasal01
481,Spencer Jones,23,DEN,SF,20,0,125,.324,.588,.059,.338,1.000,.368,.088,.500,69,108,16,62,128,64,36,119,-13.9,-14.7,,jonessp01
482,Kobe Bufkin,21,ATL,SG,10,0,124,.383,.500,.211,.426,.722,.483,.383,.404,82,92,58,78,93,84,158,96,-11.0,-10.3,,bufkiko01
483,Tyler Smith,20,MIL,PF,23,0,122,.480,.550,.433,.610,.750,.626,.160,.600,103,101,120,112,96,109,66,142,6.7,5.3,,smithty02
484,De'Anthony Melton,26,GSW,SG,6,2,121,.407,.474,.371,.528,.625,.539,.148,.648,87,87,103,97,80,94,61,154,-1.7,-4.3,,meltode01
485,Moses Brown,25,2TM,C,13,2,119,.694,.694,,.694,.727,.706,.224,.000,149,127,,128,93,122,92,0,14.8,13.9,,brownmo01
485,Moses Brown,25,IND,C,9,0,46,.650,.650,,.650,.600,.653,.250,.000,139,119,,120,77,113,103,0,4.3,3.4,,brownmo01
