,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,YearSalary
258,Isaac Okoro,24,CLE,SG,55,22,1053,10.7,0.587,0.566,0.172,5.2,8.1,6.7,8.0,1.5,1.4,7.4,12.5,1.5,1.0,2.5,0.115,-1.1,0.6,-0.5,0.4,10185186.0
259,Oso Ighodaro,22,PHO,PF,61,6,1045,11.1,0.61,0.011,0.267,7.2,16.2,11.9,9.1,1.3,2.6,15.7,10.5,1.1,0.6,1.6,0.075,-2.9,0.3,-2.6,-0.2,1157153.0
260,Jared Butler,24,2TM,SG,60,17,1044,15.6,0.549,0.373,0.201,2.5,9.3,5.8,33.8,2.0,1.2,14.0,23.6,1.0,0.4,1.4,0.063,0.5,-1.5,-1.0,0.3,745726.0
261,Jamison Battle,23,TOR,SF,59,10,1042,10.7,0.59,0.746,0.052,3.7,12.8,8.1,7.1,0.8,0.9,7.1,15.3,1.0,0.7,1.7,0.079,-0.9,-1.3,-2.3,-0.1,1000000.0
262,Noah Clowney,20,BRK,PF,46,20,1042,9.2,0.516,0.702,0.215,4.5,15.8,9.9,5.9,1.1,2.0,10.2,19.0,-0.3,0.8,0.5,0.023,-3.1,-1.0,-4.1,-0.5,3244080.0
263,Alex Caruso,30,OKC,SG,54,3,1041,15.9,0.568,0.541,0.162,4.0,12.2,8.2,16.6,4.0,2.9,9.9,15.2,1.6,2.3,3.9,0.18,0.1,3.9,4.0,1.6,9890000.0
264,Kris Murray,24,POR,SF,69,6,1040,9.1,0.472,0.43,0.204,7.7,11.3,9.5,9.0,1.6,1.5,12.4,13.9,-0.2,0.9,0.7,0.033,-3.1,0.1,-3.0,-0.3,2990040.0
265,Kyle Anderson,31,2TM,PF,61,4,1002,15.1,0.538,0.231,0.215,5.7,16.8,11.2,20.7,2.0,3.1,10.0,15.9,1.3,1.5,2.8,0.135,-0.6,2.2,1.5,0.9,8780488.0
266,Brandon Boston Jr.,23,NOP,SG,42,10,993,12.7,0.535,0.367,0.223,3.0,11.9,7.3,13.7,2.6,0.9,11.1,20.0,0.2,0.5,0.7,0.033,-2.3,-0.2,-2.5,-0.1,596581.0
267,Dalen Terry,22,CHI,SG,73,5,987,9.6,0.546,0.388,0.257,4.1,9.0,6.6,12.7,2.1,1.3,15.1,14.9,0.2,0.8,1.1,0.052,-4.0,0.2,-3.8,-0.5,3510480.0
268,Andre Jackson Jr.,23,MIL,SG,67,43,980,8.6,0.554,0.386,0.122,7.5,12.5,10.1,10.9,1.7,1.3,21.8,11.9,0.1,1.0,1.2,0.059,-3.6,0.2,-3.4,-0.3,1891857.0
269,Zach Collins,27,2TM,PF,64,12,977,16.0,0.605,0.351,0.258,11.1,19.9,15.6,15.6,1.4,2.6,15.1,17.1,1.7,1.0,2.7,0.132,-0.8,0.8,0.0,0.5,16741200.0
270,Trayce Jackson-Davis,24,GSW,C,62,37,967,18.5,0.587,0.01,0.338,13.2,21.7,17.3,16.1,1.2,3.7,11.5,17.1,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8,1891857.0
271,Thomas Bryant,27,2TM,C,66,8,963,17.2,0.614,0.461,0.199,9.7,19.2,14.5,7.6,1.4,3.9,7.9,17.1,1.8,1.2,3.1,0.152,0.7,0.0,0.6,0.6,2087519.0
272,Jalen Smith,24,CHI,C,64,2,962,18.7,0.586,0.544,0.218,9.9,28.7,19.5,9.7,0.8,4.0,7.6,21.0,1.7,1.3,2.9,0.146,1.5,-0.6,0.9,0.7,8571429.0
273,Gary Payton II,32,GSW,SG,62,11,927,16.2,0.635,0.319,0.128,6.0,15.8,10.7,13.5,2.7,1.7,11.0,16.1,1.5,1.5,3.0,0.155,-0.5,2.0,1.4,0.8,9130000.0
274,Bruce Brown,28,2TM,PG,41,12,922,10.9,0.504,0.262,0.21,4.5,14.9,9.6,12.8,1.8,1.0,10.4,17.2,0.1,0.6,0.7,0.035,-3.2,-0.6,-3.8,-0.4,23000000.0
275,Trendon Watford,24,BRK,PF,44,6,913,13.0,0.557,0.251,0.349,4.4,16.0,9.9,21.0,1.5,1.3,17.1,23.3,0.0,0.8,0.7,0.038,-2.3,-0.8,-3.1,-0.3,2726603.0
276,KJ Martin,24,2TM,PF,43,16,912,10.2,0.618,0.289,0.234,3.6,11.8,7.6,7.4,0.9,2.3,9.8,11.5,1.1,0.2,1.3,0.068,-3.2,-0.3,-3.6,-0.4,7975000.0
277,Jaden Hardy,22,DAL,SG,57,3,907,10.4,0.549,0.476,0.208,1.1,9.4,5.3,13.2,1.5,0.5,15.4,25.3,-0.8,0.5,-0.3,-0.016,-2.8,-1.9,-4.7,-0.6,2019699.0
278,Day'Ron Sharpe,23,BRK,C,50,2,907,19.7,0.568,0.142,0.233,17.8,23.8,20.7,16.8,2.3,4.6,15.3,19.9,1.3,1.4,2.7,0.141,0.0,0.9,0.9,0.7,3989122.0
279,Adem Bona,21,PHI,C,58,11,905,16.5,0.714,0.005,0.521,11.1,19.9,15.3,4.4,1.4,7.5,20.5,14.3,1.4,0.9,2.3,0.121,-2.9,0.2,-2.7,-0.2,1157153.0
280,Tre Jones,25,2TM,PG,46,9,905,16.3,0.617,0.202,0.282,3.7,9.9,6.8,28.6,1.9,1.0,11.6,14.1,2.3,0.6,2.9,0.155,0.5,1.0,1.5,0.8,9104167.0
281,Kelly Olynyk,33,2TM,C,44,22,891,14.9,0.609,0.295,0.403,7.3,17.9,12.4,20.5,1.8,2.0,19.4,18.5,1.0,0.7,1.7,0.092,-1.1,0.4,-0.7,0.3,12804878.0
282,Neemias Queta,25,BOS,C,62,6,863,16.3,0.674,0.015,0.3,11.2,18.5,14.9,7.4,1.0,4.5,14.8,13.7,1.8,1.4,3.2,0.179,-1.7,1.0,-0.7,0.3,2162606.0
283,Alec Burks,33,MIA,SG,49,14,863,12.8,0.608,0.764,0.181,1.9,13.8,7.9,9.1,1.6,0.8,9.0,16.5,0.9,0.9,1.8,0.1,0.0,0.3,0.3,0.5,2087519.0
284,Chris Boucher,32,TOR,PF,50,0,862,18.7,0.615,0.522,0.235,8.5,19.6,13.9,5.9,1.3,2.8,6.6,21.2,1.7,1.0,2.7,0.148,2.9,-0.6,2.3,0.9,10810000.0
285,Shake Milton,28,2TM,SG,57,2,837,11.9,0.563,0.417,0.232,4.2,9.9,7.0,18.3,1.5,0.5,12.5,16.7,0.8,0.5,1.3,0.077,-1.7,-0.5,-2.2,0.0,2875000.0
286,Garrison Mathews,28,ATL,SG,47,2,830,11.2,0.606,0.848,0.304,1.7,10.0,5.7,9.3,1.5,1.7,9.6,15.9,1.0,0.5,1.5,0.087,-1.1,-0.5,-1.6,0.1,2230253.0
287,Cam Whitmore,20,HOU,SF,51,3,827,15.5,0.549,0.454,0.179,4.5,15.1,9.7,8.9,1.8,1.4,9.6,23.9,0.6,1.2,1.8,0.106,0.7,-0.4,0.3,0.5,3379080.0
288,Ryan Rollins,22,MIL,PG,56,19,820,14.0,0.6,0.443,0.166,2.9,11.1,7.2,17.8,2.5,1.9,15.4,18.4,0.7,1.0,1.7,0.101,-1.4,0.9,-0.5,0.3,1091887.0
289,Marcus Sasser,24,DET,PG,57,1,811,14.0,0.589,0.514,0.172,2.5,6.9,4.7,22.9,2.2,0.5,14.5,19.4,1.0,0.8,1.8,0.108,-0.4,-0.2,-0.6,0.3,2755080.0
290,Steven Adams,31,HOU,C,58,3,794,16.6,0.541,0.012,0.557,21.8,22.0,21.9,10.9,1.3,3.2,20.6,13.6,1.0,1.3,2.3,0.137,0.0,0.3,0.3,0.5,12600000.0
291,Aaron Holiday,28,HOU,PG,62,3,792,12.2,0.594,0.675,0.153,1.7,8.9,5.2,14.3,1.2,1.2,11.5,16.8,1.2,0.8,2.0,0.122,-0.4,0.1,-0.2,0.3,4668000.0
292,Karlo Matković,23,NOP,PF,42,7,791,15.6,0.639,0.281,0.187,8.5,20.4,14.2,8.6,1.3,5.0,14.5,15.9,1.0,0.6,1.6,0.096,-1.9,-0.2,-2.0,0.0,1407153.0
293,Caleb Houstan,22,ORL,SF,58,6,788,9.4,0.605,0.842,0.089,2.6,8.6,5.5,6.4,1.4,0.7,6.2,11.7,0.9,0.9,1.8,0.109,-2.4,0.2,-2.2,0.0,2019699.0
294,Vasilije Micić,31,2TM,PG,41,16,785,6.5,0.462,0.458,0.15,2.7,9.6,6.0,24.3,0.9,0.0,20.9,19.9,-1.2,0.2,-1.0,-0.06,-4.6,-2.4,-7.0,-1.0,7723000.0
295,Jaylin Williams,22,OKC,PF,47,9,784,16.4,0.594,0.692,0.136,6.7,28.7,17.9,19.0,1.3,3.7,13.0,14.6,1.5,1.7,3.3,0.199,1.5,2.7,4.3,1.2,2019699.0
296,Pelle Larsson,23,MIA,SG,55,8,782,10.2,0.546,0.468,0.3,4.0,9.0,6.5,11.6,2.0,0.9,9.5,14.4,0.6,0.8,1.4,0.086,-3.8,0.7,-3.1,-0.2,1157153.0
297,Lindy Waters III,27,2TM,SG,52,9,778,8.8,0.504,0.747,0.044,2.7,12.8,7.6,9.1,1.7,1.3,7.3,14.8,0.1,0.9,1.0,0.062,-3.0,0.2,-2.8,-0.2,2196970.0
298,Orlando Robinson,24,2TM,C,44,8,770,12.9,0.519,0.199,0.268,12.1,18.7,15.4,14.0,1.1,2.0,14.4,18.5,0.4,0.8,1.2,0.072,-3.0,-0.4,-3.4,-0.3,1691610.0
299,Gui Santos,22,GSW,PF,56,2,762,11.7,0.575,0.575,0.235,9.9,14.5,12.1,14.2,1.6,1.2,17.5,13.2,0.8,0.9,1.7,0.11,-2.2,0.5,-1.7,0.1,1891857.0
300,Landry Shamet,27,NYK,SG,50,0,762,9.7,0.601,0.678,0.078,1.7,7.5,4.6,4.7,1.5,0.2,8.5,14.8,0.5,0.5,1.0,0.065,-1.9,-0.6,-2.4,-0.1,1343690.0
301,Andre Drummond,31,PHI,C,40,23,751,16.0,0.535,0.085,0.385,15.8,31.6,23.4,6.8,2.6,2.4,16.7,19.1,0.2,1.0,1.2,0.078,-2.4,-0.8,-3.2,-0.2,5000000.0
302,Jabari Walker,22,POR,SF,60,1,749,15.0,0.601,0.314,0.31,8.3,22.6,15.3,7.2,2.1,0.7,11.6,16.3,1.0,1.0,2.0,0.128,-1.2,0.5,-0.8,0.2,2019699.0
303,Jay Huff,26,MEM,C,64,2,748,18.2,0.666,0.656,0.184,4.3,13.9,9.1,7.0,1.0,6.9,9.3,19.6,1.6,1.0,2.5,0.162,2.5,1.0,3.5,1.1,2088033.0
304,Drew Eubanks,27,2TM,C,61,4,746,15.6,0.622,0.031,0.366,8.9,24.1,16.5,10.6,0.8,5.0,15.4,15.1,1.0,0.7,1.7,0.107,-1.2,0.6,-0.7,0.3,5000000.0
305,Talen Horton-Tucker,24,CHI,SG,58,0,724,13.8,0.567,0.419,0.337,2.8,11.5,7.2,16.1,1.4,1.3,10.7,21.6,0.6,0.5,1.1,0.075,-1.4,-1.1,-2.4,-0.1,2087519.0
306,Gary Harris,30,ORL,SG,48,3,711,6.9,0.524,0.759,0.09,3.1,7.5,5.2,5.8,1.8,1.6,10.9,9.5,0.1,0.9,1.0,0.067,-3.9,1.2,-2.7,-0.1,7500000.0
307,Jett Howard,21,ORL,SF,60,0,701,7.1,0.491,0.71,0.088,3.1,8.6,5.7,9.6,0.9,1.5,11.7,19.2,-0.6,0.8,0.1,0.01,-4.1,-1.2,-5.3,-0.6,5278320.0
308,DeAndre Jordan,36,DEN,C,56,5,691,15.4,0.621,0.0,0.457,14.0,30.3,22.6,9.5,1.1,3.5,19.2,12.8,0.9,0.9,1.8,0.127,-1.4,0.2,-1.2,0.2,2087519.0
309,Quinten Post,24,GSW,PF,42,14,686,14.2,0.595,0.653,0.099,5.3,18.3,11.6,12.2,1.1,2.5,10.3,19.6,0.8,0.9,1.7,0.116,0.1,0.0,0.1,0.4,438920.0
310,Blake Wesley,21,SAS,SG,58,0,683,9.9,0.51,0.312,0.328,2.7,6.9,4.8,22.3,2.6,0.8,20.2,16.7,-0.3,0.4,0.2,0.011,-3.9,-0.3,-4.2,-0.4,2624280.0
311,Sandro Mamukelashvili,25,SAS,PF,61,0,681,19.7,0.628,0.573,0.206,9.7,19.7,14.7,10.7,1.6,2.3,7.8,20.8,1.6,0.6,2.2,0.152,3.3,-1.0,2.3,0.7,2087519.0
312,Jalen Pickett,25,DEN,SG,49,4,666,10.9,0.545,0.561,0.044,2.6,8.8,5.9,19.5,1.4,0.7,11.6,13.2,0.8,0.3,1.1,0.078,-0.8,-0.7,-1.5,0.1,1891857.0
313,Antonio Reeves,24,NOP,SG,44,6,660,11.7,0.579,0.52,0.141,2.9,7.6,5.1,8.8,1.5,0.6,10.2,18.8,0.4,0.0,0.4,0.029,-1.2,-2.0,-3.2,-0.2,1157153.0
314,Reed Sheppard,20,HOU,PG,52,3,654,9.7,0.465,0.594,0.067,2.6,10.3,6.4,15.2,2.6,2.3,13.1,17.8,-0.3,1.0,0.8,0.055,-3.0,1.3,-1.7,0.1,10098960.0
315,Delon Wright,32,2TM,PG,40,7,635,9.2,0.44,0.557,0.191,4.9,6.5,5.7,15.0,2.7,1.8,13.4,11.3,0.0,0.7,0.7,0.053,-2.8,1.4,-1.4,0.1,2087519.0
316,Jericho Sims,26,2TM,C,53,5,632,10.0,0.639,0.0,0.183,12.9,22.0,17.6,6.4,0.8,2.8,30.1,7.6,0.5,0.7,1.3,0.096,-3.1,0.1,-3.0,-0.2,2092344.0
317,Josh Okogie,26,2TM,SG,40,7,625,16.3,0.567,0.434,0.401,8.0,11.8,9.9,7.9,3.8,2.8,11.1,19.5,0.6,0.7,1.3,0.1,-0.1,1.6,1.5,0.6,8250000.0
320,Zeke Nnaji,24,DEN,PF,57,4,608,12.0,0.574,0.369,0.312,6.3,9.8,8.1,4.6,2.0,5.6,8.0,12.2,0.6,0.6,1.2,0.097,-2.1,0.7,-1.3,0.1,8888889.0
322,Pat Connaughton,32,MIL,SG,41,1,603,12.1,0.567,0.458,0.175,3.6,15.6,9.8,15.8,0.7,1.7,11.2,15.6,0.6,0.6,1.2,0.093,-1.4,-0.8,-2.3,0.0,9423869.0
323,Jae'Sean Tate,29,HOU,SF,52,2,588,12.3,0.557,0.311,0.318,8.9,12.4,10.6,10.5,2.2,1.1,11.5,13.3,0.8,0.8,1.6,0.133,-2.1,1.4,-0.7,0.2,7565217.0
324,Olivier-Maxence Prosper,22,DAL,PF,52,4,584,12.6,0.484,0.293,0.437,8.4,15.0,11.8,9.1,2.2,0.9,6.3,16.3,0.3,0.5,0.9,0.072,-1.6,-0.5,-2.1,0.0,2870400.0
325,Monte Morris,29,PHO,PG,45,0,571,13.1,0.546,0.441,0.215,2.4,10.5,6.5,18.1,1.7,0.5,9.0,18.1,0.6,0.2,0.8,0.064,-1.0,-0.8,-1.8,0.0,2087519.0
326,John Konchar,28,MEM,SG,46,4,558,12.1,0.592,0.681,0.088,7.1,21.4,14.3,8.8,2.5,2.3,14.5,8.0,0.6,0.9,1.5,0.131,-0.7,2.3,1.7,0.5,6165000.0
327,Dwight Powell,33,DAL,C,55,3,551,12.9,0.713,0.082,0.705,9.5,13.7,11.7,12.5,1.6,3.3,18.4,7.6,1.2,0.5,1.7,0.147,-1.5,1.5,0.0,0.3,4000000.0
328,Dillon Jones,23,OKC,SF,54,3,551,8.1,0.464,0.474,0.211,6.0,17.3,11.8,12.6,1.4,0.7,16.2,13.3,-0.1,0.9,0.8,0.067,-4.3,0.3,-4.0,-0.3,2622360.0
329,Jaylen Clark,23,MIN,SG,40,4,522,12.0,0.598,0.425,0.308,5.6,5.6,5.6,6.7,3.4,0.4,5.5,12.0,0.9,0.7,1.6,0.147,-2.9,2.7,-0.2,0.2,492323.0
330,Rob Dillingham,20,MIN,PG,49,1,516,10.2,0.503,0.351,0.071,2.6,8.0,5.4,28.4,1.9,0.2,19.6,22.7,-0.4,0.6,0.1,0.012,-3.3,-0.9,-4.2,-0.3,6262920.0
331,Craig Porter Jr.,24,CLE,PG,51,1,513,13.1,0.61,0.343,0.229,4.1,9.9,7.1,17.7,1.6,2.6,19.8,15.9,0.5,0.6,1.1,0.102,0.1,1.0,1.1,0.4,1891857.0
332,Jock Landale,29,HOU,C,42,3,500,16.0,0.59,0.171,0.263,11.7,17.6,14.6,10.3,1.3,1.8,11.0,15.7,1.0,0.7,1.7,0.159,0.0,0.4,0.4,0.3,8000000.0
333,Duop Reath,28,POR,C,46,0,469,13.7,0.552,0.639,0.133,9.9,11.4,10.6,8.0,1.2,2.7,8.3,17.0,0.6,0.4,1.0,0.105,0.2,-0.5,-0.3,0.2,2048780.0
335,Rayan Rupert,20,POR,SG,52,0,460,8.1,0.499,0.415,0.211,6.0,10.6,8.2,7.6,1.7,0.8,16.2,16.8,-0.3,0.4,0.1,0.007,-4.1,-0.6,-4.7,-0.3,1891857.0
336,Jaylon Tyson,22,CLE,SG,47,3,453,11.1,0.523,0.389,0.161,9.1,13.7,11.5,12.4,1.4,0.6,14.0,17.4,0.3,0.5,0.8,0.083,-2.4,-0.2,-2.7,-0.1,3326160.0
337,Paul Reed,25,DET,C,45,0,438,18.6,0.573,0.197,0.296,10.2,20.8,15.6,14.0,4.3,5.4,13.9,18.0,0.6,1.0,1.6,0.173,-1.2,4.0,2.9,0.5,3913234.0
338,Malaki Branham,21,SAS,SG,47,0,427,12.0,0.575,0.442,0.174,1.8,11.1,6.4,13.4,1.2,0.4,14.3,23.8,-0.1,0.2,0.1,0.007,-1.2,-1.9,-3.2,-0.1,3217920.0
339,Jordan Walsh,20,BOS,PF,52,1,403,6.9,0.464,0.663,0.145,6.2,12.4,9.3,6.0,1.5,2.5,16.1,11.5,-0.2,0.5,0.4,0.044,-4.4,0.5,-3.9,-0.2,1891857.0
340,Hunter Tyson,24,DEN,PF,51,2,400,9.0,0.506,0.617,0.233,7.2,13.9,10.7,6.1,1.2,1.3,9.6,15.5,0.1,0.3,0.4,0.047,-3.3,-1.5,-4.8,-0.3,1891857.0
341,Anthony Gill,32,WAS,PF,51,0,397,10.2,0.586,0.352,0.568,4.7,12.6,8.6,5.7,1.1,0.5,8.3,12.7,0.4,0.1,0.5,0.058,-3.0,-1.5,-4.5,-0.3,2237691.0
342,Alex Len,31,2TM,C,46,7,380,10.6,0.525,0.143,0.27,11.3,16.7,14.0,12.6,1.2,5.4,22.1,10.3,0.2,0.4,0.7,0.083,-3.9,1.2,-2.6,-0.1,2831348.0
343,Johnny Furphy,20,IND,SG,50,0,379,9.8,0.506,0.543,0.239,6.8,14.0,10.4,6.2,2.3,2.6,10.6,13.0,0.1,0.5,0.5,0.07,-3.0,0.6,-2.5,0.0,1850842.0
344,Jaden Springer,22,2TM,SG,43,2,365,10.7,0.511,0.533,0.422,5.1,12.1,8.6,12.1,3.2,1.0,13.0,14.3,0.1,0.4,0.5,0.07,-4.3,1.6,-2.7,-0.1,4772772.0
345,Doug McDermott,33,SAC,SF,42,3,342,9.5,0.617,0.863,0.043,1.0,6.2,3.6,2.8,0.6,0.6,4.8,15.7,0.4,0.1,0.4,0.061,-0.8,-2.4,-3.2,-0.1,2087519.0
346,Tristan Thompson,33,CLE,C,40,0,328,9.1,0.41,0.042,0.423,10.9,32.7,22.1,8.8,0.3,3.0,14.3,12.7,-0.2,0.5,0.4,0.057,-4.9,0.3,-4.6,-0.2,2087519.0
347,Jordan McLaughlin,28,2TM,PG,46,0,314,12.3,0.6,0.639,0.306,2.1,8.5,5.3,21.0,2.5,0.3,16.4,13.3,0.4,0.2,0.6,0.098,-1.6,0.0,-1.6,0.0,2087519.0
348,Isaac Jones,24,SAC,PF,40,0,304,15.2,0.678,0.096,0.434,8.1,12.9,10.5,5.6,0.8,3.2,13.9,16.3,0.5,0.2,0.7,0.115,-0.9,-0.8,-1.7,0.0,152957.0
349,Tyler Kolek,23,NYK,PG,41,0,296,10.3,0.453,0.573,0.207,3.1,7.3,5.2,29.5,2.0,1.3,16.7,15.8,0.1,0.3,0.4,0.058,-2.6,-0.3,-2.8,-0.1,2087519.0
350,Josh Minott,22,MIN,SF,46,0,276,15.5,0.605,0.478,0.211,4.9,13.8,9.4,9.5,2.7,4.0,10.1,17.2,0.4,0.5,0.9,0.153,-0.7,2.9,2.2,0.3,2019699.0
351,Kobe Brown,25,LAC,PF,40,0,272,10.8,0.513,0.361,0.097,8.0,18.9,13.5,11.9,1.3,1.5,13.8,14.0,0.1,0.4,0.5,0.085,-2.5,0.4,-2.1,0.0,2533920.0
