,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,YearSalary
173,Jonas Valančiūnas,32,2TM,C,81,21,1524,20.8,0.602,0.059,0.263,13.3,30.7,22.0,17.6,1.2,2.8,14.6,22.8,2.6,1.7,4.3,0.137,0.8,-0.1,0.6,1.0,9900000.0
174,Kyle Filipowski,21,UTA,C,72,27,1522,14.9,0.594,0.425,0.276,8.0,23.1,15.6,13.9,1.5,1.4,14.9,18.7,1.5,1.0,2.5,0.078,-0.6,-0.3,-1.0,0.4,3000000.0
175,Ja Morant,25,MEM,PG,50,50,1519,19.3,0.563,0.321,0.359,2.4,11.8,7.1,36.0,1.9,0.7,15.2,32.2,2.0,1.5,3.5,0.112,3.1,-0.7,2.4,1.7,36725670.0
176,Matas Buzelis,20,CHI,SF,80,31,1511,12.5,0.571,0.479,0.195,3.9,15.2,9.6,7.2,0.9,4.3,10.9,18.7,0.5,1.4,1.9,0.06,-2.0,-0.5,-2.5,-0.2,5195520.0
177,LaMelo Ball,23,CHO,PG,47,47,1505,19.1,0.536,0.526,0.228,3.3,13.4,8.2,43.8,1.8,0.8,13.1,35.9,0.9,1.1,2.0,0.065,4.1,-0.9,3.2,2.0,35147000.0
178,Dalton Knecht,23,LAL,SF,78,16,1494,12.7,0.594,0.61,0.151,2.9,13.1,8.1,6.5,0.8,0.5,5.9,18.5,1.7,1.0,2.7,0.086,-0.1,-1.7,-1.8,0.1,3819120.0
179,Kevin Porter Jr.,24,2TM,SG,75,4,1482,15.4,0.531,0.271,0.259,3.2,17.3,10.4,25.9,2.7,0.9,15.8,25.4,-0.1,2.3,2.2,0.072,-1.6,0.9,-0.6,0.5,3366937.0
180,D'Angelo Russell,28,2TM,PG,58,36,1480,14.0,0.522,0.564,0.227,1.5,11.0,6.2,31.2,1.9,1.5,13.3,24.0,0.7,1.3,1.9,0.063,0.0,-0.4,-0.4,0.6,18692307.0
181,Lauri Markkanen,27,UTA,PF,47,47,1476,15.6,0.571,0.57,0.264,5.3,14.9,10.1,7.5,1.1,1.1,7.8,24.0,1.8,0.3,2.2,0.07,1.8,-2.1,-0.3,0.7,42176400.0
182,Luke Kennard,28,MEM,SG,65,11,1472,13.6,0.631,0.606,0.132,2.7,10.4,6.6,18.5,1.6,0.3,13.6,14.5,2.6,1.3,3.9,0.127,0.9,0.2,1.1,1.2,9250000.0
