,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,YearSalary
152,Al Horford,38,BOS,C,60,42,1659,0.423,0.551,0.363,0.547,0.895,0.563,0.082,0.681,91.0,101.0,101.0,101.0,115.0,98.0,34.0,162.0,3.3,-12.5,9500000.0
153,Terry Rozier,30,MIA,PG,64,23,1658,0.391,0.48,0.295,0.462,0.852,0.497,0.17,0.485,84.0,88.0,82.0,85.0,109.0,86.0,70.0,115.0,-102.7,-107.5,24924126.0
154,Peyton Watson,22,DEN,SF,68,18,1656,0.477,0.534,0.353,0.533,0.693,0.564,0.32,0.318,102.0,98.0,98.0,98.0,89.0,98.0,132.0,75.0,-8.9,-11.7,2413560.0
155,Moses Moody,22,GSW,SG,74,34,1649,0.433,0.519,0.374,0.544,0.797,0.578,0.234,0.593,93.0,95.0,104.0,100.0,102.0,100.0,96.0,141.0,1.1,2.0,5803269.0
156,Tristan Da Silva,23,ORL,SF,74,38,1629,0.412,0.488,0.335,0.495,0.873,0.522,0.13,0.495,88.0,89.0,93.0,91.0,112.0,91.0,54.0,117.0,-46.6,-55.5,3628440.0
157,Donte DiVincenzo,28,MIN,SG,62,10,1606,0.422,0.49,0.397,0.568,0.778,0.582,0.106,0.739,90.0,90.0,110.0,105.0,100.0,101.0,44.0,175.0,29.9,7.7,11445000.0
158,Isaiah Joe,25,OKC,SG,74,16,1604,0.44,0.549,0.412,0.604,0.821,0.617,0.095,0.793,94.0,101.0,114.0,111.0,105.0,107.0,39.0,188.0,71.4,50.0,12991650.0
159,Corey Kispert,25,WAS,SF,61,0,1602,0.451,0.574,0.364,0.558,0.852,0.584,0.156,0.584,97.0,105.0,101.0,103.0,109.0,101.0,64.0,139.0,16.3,9.3,5705887.0
160,Caris LeVert,30,2TM,SG,64,3,1596,0.467,0.552,0.373,0.556,0.71,0.582,0.259,0.474,100.0,101.0,104.0,102.0,91.0,101.0,107.0,113.0,15.4,7.1,16615384.0
161,Miles McBride,24,NYK,PG,64,10,1593,0.406,0.455,0.369,0.511,0.813,0.531,0.117,0.57,87.0,84.0,102.0,94.0,104.0,92.0,48.0,135.0,-35.1,-51.8,4710144.0
162,Isaiah Hartenstein,26,OKC,C,57,53,1590,0.581,0.605,0.0,0.581,0.675,0.599,0.244,0.04,124.0,111.0,0.0,107.0,87.0,104.0,100.0,9.0,36.7,24.5,30000000.0
163,Gradey Dick,21,TOR,SG,54,54,1587,0.41,0.47,0.35,0.498,0.858,0.543,0.24,0.504,88.0,86.0,97.0,92.0,110.0,94.0,99.0,120.0,-58.7,-47.2,4763760.0
164,Paolo Banchero,22,ORL,PF,46,46,1582,0.452,0.509,0.32,0.5,0.727,0.551,0.423,0.299,97.0,93.0,89.0,92.0,93.0,96.0,174.0,71.0,-78.5,-54.0,12160800.0
165,Patrick Williams,23,CHI,PF,63,36,1576,0.397,0.447,0.353,0.49,0.723,0.512,0.161,0.527,85.0,82.0,98.0,90.0,93.0,89.0,66.0,125.0,-54.4,-70.7,18000000.0
166,Obi Toppin,26,IND,PF,79,4,1545,0.529,0.695,0.365,0.621,0.781,0.642,0.19,0.503,113.0,127.0,101.0,114.0,100.0,111.0,78.0,119.0,93.4,84.9,12975000.0
167,Grayson Allen,29,PHO,SG,64,7,1544,0.448,0.504,0.426,0.6,0.816,0.631,0.233,0.716,96.0,92.0,118.0,111.0,105.0,109.0,96.0,170.0,55.9,58.7,15625000.0
168,Sam Hauser,27,BOS,PF,71,19,1541,0.451,0.64,0.416,0.627,1.0,0.632,0.023,0.842,97.0,117.0,115.0,115.0,128.0,110.0,10.0,200.0,79.2,53.2,2092344.0
169,Ziaire Williams,23,BRK,SF,63,45,1541,0.412,0.509,0.341,0.511,0.821,0.55,0.237,0.581,88.0,93.0,95.0,94.0,105.0,96.0,97.0,138.0,-33.8,-29.6,6133005.0
170,Gabe Vincent,28,LAL,PG,72,11,1527,0.4,0.532,0.353,0.53,0.714,0.536,0.05,0.736,86.0,98.0,98.0,98.0,92.0,93.0,21.0,175.0,-11.2,-34.6,11000000.0
171,Victor Wembanyama,21,SAS,C,46,46,1527,0.476,0.586,0.352,0.559,0.836,0.594,0.221,0.47,102.0,107.0,98.0,103.0,107.0,103.0,91.0,112.0,27.2,32.6,12768960.0
172,Jerami Grant,30,POR,PF,47,47,1524,0.373,0.381,0.365,0.467,0.849,0.523,0.289,0.516,80.0,70.0,101.0,86.0,109.0,91.0,119.0,122.0,-87.4,-68.6,29793104.0
173,Jonas Valančiūnas,32,2TM,C,81,21,1524,0.55,0.571,0.216,0.557,0.879,0.602,0.263,0.059,118.0,105.0,60.0,102.0,113.0,105.0,108.0,14.0,17.0,36.7,9900000.0
174,Kyle Filipowski,21,UTA,C,72,27,1522,0.502,0.614,0.35,0.576,0.65,0.594,0.276,0.425,107.0,113.0,97.0,106.0,83.0,103.0,114.0,101.0,34.4,20.6,3000000.0
175,Ja Morant,25,MEM,PG,50,50,1519,0.454,0.523,0.309,0.504,0.824,0.563,0.359,0.321,97.0,96.0,86.0,93.0,106.0,98.0,148.0,76.0,-69.6,-27.2,36725670.0
176,Matas Buzelis,20,CHI,SF,80,31,1511,0.454,0.54,0.361,0.541,0.815,0.571,0.195,0.479,97.0,99.0,100.0,100.0,104.0,99.0,80.0,114.0,-2.8,-6.3,5195520.0
177,LaMelo Ball,23,CHO,PG,47,47,1505,0.405,0.478,0.339,0.494,0.843,0.536,0.228,0.526,87.0,88.0,94.0,91.0,108.0,93.0,94.0,125.0,-98.4,-87.9,35147000.0
178,Dalton Knecht,23,LAL,SF,78,16,1494,0.461,0.594,0.376,0.576,0.762,0.594,0.151,0.61,99.0,109.0,105.0,106.0,98.0,103.0,62.0,145.0,37.0,21.5,3819120.0
179,Kevin Porter Jr.,24,2TM,SG,75,4,1482,0.449,0.501,0.311,0.492,0.769,0.531,0.259,0.271,96.0,92.0,86.0,91.0,99.0,92.0,107.0,64.0,-67.2,-66.1,3366937.0
180,D'Angelo Russell,28,2TM,PG,58,36,1480,0.39,0.489,0.314,0.479,0.834,0.522,0.227,0.564,84.0,90.0,87.0,88.0,107.0,91.0,94.0,134.0,-82.0,-76.8,18692307.0
