,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,YearSalary
244,Kevon Looney,28,GSW,C,76,6,1142,0.514,0.516,0.4,0.518,0.566,0.535,0.356,0.018,110.0,95.0,111.0,95.0,73.0,93.0,147.0,4.0,-13.9,-26.6,8000000.0
245,Kenrich Williams,30,OKC,PF,69,7,1132,0.483,0.574,0.386,0.576,0.718,0.587,0.11,0.483,103.0,105.0,107.0,106.0,92.0,102.0,45.0,115.0,23.5,8.3,6669000.0
246,Julian Phillips,21,CHI,SF,79,5,1123,0.446,0.582,0.327,0.533,0.789,0.571,0.265,0.533,95.0,107.0,91.0,98.0,101.0,99.0,109.0,127.0,-5.7,-3.3,1891857.0
247,Aaron Nesmith,25,IND,SF,45,37,1123,0.507,0.587,0.431,0.617,0.913,0.653,0.211,0.515,108.0,108.0,120.0,114.0,117.0,113.0,87.0,122.0,56.4,63.7,11000000.0
248,Dalano Banton,25,POR,PG,67,7,1120,0.391,0.442,0.324,0.462,0.728,0.497,0.247,0.438,84.0,81.0,90.0,85.0,93.0,86.0,102.0,104.0,-82.7,-88.6,2196970.0
249,Ben Simmons,28,2TM,PG,51,24,1120,0.52,0.52,0.0,0.52,0.727,0.539,0.148,0.0,111.0,95.0,0.0,96.0,93.0,94.0,61.0,0.0,-10.2,-17.7,40011909.0
250,Ja'Kobe Walter,20,TOR,SG,52,18,1103,0.405,0.454,0.349,0.487,0.795,0.523,0.211,0.473,87.0,83.0,97.0,90.0,102.0,91.0,87.0,112.0,-43.9,-46.0,3465000.0
251,Jaxson Hayes,24,LAL,C,56,35,1093,0.722,0.732,0.0,0.722,0.622,0.72,0.439,0.013,155.0,134.0,0.0,133.0,80.0,125.0,181.0,3.0,79.8,76.3,2463946.0
252,Cameron Payne,30,NYK,PG,72,5,1090,0.401,0.453,0.363,0.506,0.907,0.532,0.121,0.574,86.0,83.0,101.0,93.0,116.0,92.0,50.0,136.0,-33.4,-41.3,2087519.0
253,Jonathan Isaac,27,ORL,PF,71,1,1090,0.414,0.549,0.258,0.474,0.682,0.512,0.33,0.466,89.0,101.0,72.0,87.0,87.0,89.0,136.0,111.0,-44.9,-47.6,25000000.0
254,DaQuan Jeffries,27,CHO,SG,47,20,1071,0.405,0.496,0.335,0.5,0.8,0.518,0.103,0.564,87.0,91.0,93.0,92.0,103.0,90.0,42.0,134.0,-25.1,-35.6,2425404.0
255,Jusuf Nurkić,30,2TM,C,51,32,1063,0.477,0.551,0.305,0.523,0.664,0.555,0.364,0.298,102.0,101.0,85.0,96.0,85.0,96.0,150.0,71.0,-14.3,-17.5,18125000.0
256,Seth Curry,34,CHO,SG,68,14,1062,0.478,0.503,0.456,0.599,0.846,0.616,0.114,0.531,102.0,92.0,127.0,110.0,109.0,107.0,47.0,126.0,38.5,29.0,2087519.0
257,Cody Williams,20,UTA,SG,50,21,1060,0.323,0.393,0.259,0.391,0.725,0.419,0.156,0.525,69.0,72.0,72.0,72.0,93.0,73.0,64.0,125.0,-78.1,-86.4,5469120.0
258,Isaac Okoro,24,CLE,SG,55,22,1053,0.464,0.586,0.371,0.569,0.717,0.587,0.172,0.566,99.0,108.0,103.0,105.0,92.0,102.0,71.0,134.0,14.0,6.0,10185186.0
259,Oso Ighodaro,22,PHO,PF,61,6,1045,0.604,0.611,0.0,0.604,0.58,0.61,0.267,0.011,129.0,112.0,0.0,111.0,74.0,106.0,110.0,3.0,22.9,14.2,1157153.0
260,Jared Butler,24,2TM,SG,60,17,1044,0.448,0.504,0.355,0.514,0.824,0.549,0.201,0.373,96.0,92.0,99.0,95.0,106.0,95.0,83.0,89.0,-26.1,-27.1,745726.0
261,Jamison Battle,23,TOR,SF,59,10,1042,0.429,0.5,0.405,0.581,0.889,0.59,0.052,0.746,92.0,92.0,113.0,107.0,114.0,102.0,21.0,177.0,26.1,10.0,1000000.0
262,Noah Clowney,20,BRK,PF,46,20,1042,0.358,0.414,0.333,0.474,0.838,0.516,0.215,0.702,77.0,76.0,93.0,87.0,107.0,90.0,89.0,167.0,-51.0,-49.2,3244080.0
263,Alex Caruso,30,OKC,SG,54,3,1041,0.446,0.556,0.353,0.541,0.824,0.568,0.162,0.541,95.0,102.0,98.0,100.0,106.0,99.0,67.0,129.0,-1.0,-5.7,9890000.0
264,Kris Murray,24,POR,SF,69,6,1040,0.419,0.566,0.225,0.468,0.456,0.472,0.204,0.43,90.0,104.0,62.0,86.0,58.0,82.0,84.0,102.0,-42.0,-63.4,2990040.0
265,Kyle Anderson,31,2TM,PF,61,4,1002,0.469,0.502,0.357,0.51,0.738,0.538,0.215,0.231,100.0,92.0,99.0,94.0,95.0,93.0,88.0,55.0,-20.1,-25.1,8780488.0
266,Brandon Boston Jr.,23,NOP,SG,42,10,993,0.436,0.485,0.35,0.5,0.788,0.535,0.223,0.367,93.0,89.0,97.0,92.0,101.0,93.0,92.0,87.0,-32.8,-34.2,596581.0
267,Dalen Terry,22,CHI,SG,73,5,987,0.448,0.506,0.356,0.517,0.71,0.546,0.257,0.388,96.0,93.0,99.0,95.0,91.0,95.0,106.0,92.0,-14.1,-17.8,3510480.0
268,Andre Jackson Jr.,23,MIL,SG,67,43,980,0.477,0.529,0.395,0.553,0.5,0.554,0.122,0.386,102.0,97.0,110.0,102.0,64.0,96.0,50.0,92.0,4.0,-9.2,1891857.0
269,Zach Collins,27,2TM,PF,64,12,977,0.507,0.617,0.302,0.56,0.885,0.605,0.258,0.351,108.0,113.0,84.0,103.0,113.0,105.0,106.0,83.0,10.0,19.4,16741200.0
270,Trayce Jackson-Davis,24,GSW,C,62,37,967,0.576,0.582,0.0,0.576,0.578,0.587,0.338,0.01,123.0,107.0,0.0,106.0,74.0,102.0,139.0,2.0,20.0,7.3,1891857.0
271,Thomas Bryant,27,2TM,C,66,8,963,0.508,0.665,0.324,0.583,0.859,0.614,0.199,0.461,109.0,122.0,90.0,107.0,110.0,107.0,82.0,109.0,25.4,26.7,2087519.0
272,Jalen Smith,24,CHI,C,64,2,962,0.466,0.634,0.324,0.554,0.809,0.586,0.218,0.544,100.0,116.0,90.0,102.0,104.0,102.0,90.0,129.0,8.9,8.7,8571429.0
273,Gary Payton II,32,GSW,SG,62,11,927,0.574,0.69,0.326,0.626,0.711,0.635,0.128,0.319,123.0,127.0,91.0,115.0,91.0,110.0,53.0,76.0,49.3,37.3,9130000.0
274,Bruce Brown,28,2TM,PG,41,12,922,0.421,0.452,0.333,0.464,0.815,0.504,0.21,0.262,90.0,83.0,93.0,86.0,105.0,87.0,87.0,62.0,-48.6,-49.1,23000000.0
275,Trendon Watford,24,BRK,PF,44,6,913,0.469,0.515,0.33,0.51,0.762,0.557,0.349,0.251,100.0,95.0,91.0,94.0,98.0,97.0,144.0,60.0,-23.1,-15.2,2726603.0
276,KJ Martin,24,2TM,PF,43,16,912,0.552,0.671,0.259,0.59,0.787,0.618,0.234,0.289,118.0,123.0,72.0,109.0,101.0,107.0,96.0,69.0,18.7,18.5,7975000.0
277,Jaden Hardy,22,DAL,SG,57,3,907,0.435,0.479,0.386,0.527,0.698,0.549,0.208,0.476,93.0,88.0,107.0,97.0,89.0,95.0,86.0,113.0,-13.7,-24.7,2019699.0
278,Day'Ron Sharpe,23,BRK,C,50,2,907,0.521,0.566,0.244,0.538,0.757,0.568,0.233,0.142,111.0,104.0,68.0,99.0,97.0,99.0,96.0,34.0,-3.3,-5.8,3989122.0
279,Adem Bona,21,PHI,C,58,11,905,0.703,0.707,0.0,0.703,0.67,0.714,0.521,0.005,150.0,130.0,0.0,129.0,86.0,124.0,214.0,1.0,61.5,65.0,1157153.0
280,Tre Jones,25,2TM,PG,46,9,905,0.538,0.574,0.396,0.578,0.821,0.617,0.282,0.202,115.0,105.0,110.0,106.0,105.0,107.0,116.0,48.0,16.5,21.8,9104167.0
281,Kelly Olynyk,33,2TM,C,44,22,891,0.5,0.534,0.418,0.562,0.769,0.609,0.403,0.295,107.0,98.0,116.0,103.0,99.0,106.0,166.0,70.0,9.9,20.4,12804878.0
282,Neemias Queta,25,BOS,C,62,6,863,0.65,0.66,0.0,0.65,0.754,0.674,0.3,0.015,139.0,121.0,0.0,120.0,97.0,117.0,124.0,4.0,43.5,45.1,2162606.0
283,Alec Burks,33,MIA,SG,49,14,863,0.424,0.422,0.425,0.587,0.776,0.608,0.181,0.764,91.0,77.0,118.0,108.0,99.0,106.0,74.0,181.0,23.7,18.9,2087519.0
284,Chris Boucher,32,TOR,PF,50,0,862,0.492,0.633,0.363,0.586,0.782,0.615,0.235,0.522,105.0,116.0,101.0,108.0,100.0,107.0,97.0,124.0,32.1,31.5,10810000.0
285,Shake Milton,28,2TM,SG,57,2,837,0.453,0.52,0.358,0.528,0.797,0.563,0.232,0.417,97.0,95.0,100.0,97.0,102.0,98.0,96.0,99.0,-7.9,-7.7,2875000.0
286,Garrison Mathews,28,ATL,SG,47,2,830,0.397,0.436,0.39,0.562,0.821,0.606,0.304,0.848,85.0,80.0,108.0,104.0,105.0,105.0,125.0,201.0,9.9,17.3,2230253.0
287,Cam Whitmore,20,HOU,SF,51,3,827,0.444,0.518,0.355,0.525,0.75,0.549,0.179,0.454,95.0,95.0,99.0,97.0,96.0,95.0,74.0,108.0,-14.7,-23.9,3379080.0
288,Ryan Rollins,22,MIL,PG,56,19,820,0.487,0.55,0.408,0.577,0.8,0.6,0.166,0.443,104.0,101.0,113.0,106.0,103.0,104.0,68.0,105.0,18.7,13.9,1091887.0
289,Marcus Sasser,24,DET,PG,57,1,811,0.463,0.549,0.382,0.561,0.843,0.589,0.172,0.514,99.0,101.0,106.0,103.0,108.0,102.0,71.0,122.0,10.5,8.0,2755080.0
290,Steven Adams,31,HOU,C,58,3,794,0.545,0.552,0.0,0.545,0.462,0.541,0.557,0.012,117.0,101.0,0.0,100.0,59.0,94.0,229.0,3.0,0.6,-14.6,12600000.0
291,Aaron Holiday,28,HOU,PG,62,3,792,0.437,0.517,0.398,0.571,0.829,0.594,0.153,0.675,93.0,95.0,110.0,105.0,106.0,103.0,63.0,160.0,14.9,10.4,4668000.0
292,Karlo Matković,23,NOP,PF,42,7,791,0.574,0.675,0.318,0.619,0.773,0.639,0.187,0.281,123.0,124.0,88.0,114.0,99.0,111.0,77.0,67.0,35.8,31.9,1407153.0
293,Caleb Houstan,22,ORL,SF,58,6,788,0.421,0.533,0.4,0.589,0.882,0.605,0.089,0.842,90.0,98.0,111.0,109.0,113.0,105.0,37.0,200.0,17.6,11.4,2019699.0
294,Vasilije Micić,31,2TM,PG,41,16,785,0.348,0.338,0.36,0.43,0.829,0.462,0.15,0.458,74.0,62.0,100.0,79.0,106.0,80.0,62.0,109.0,-61.5,-66.4,7723000.0
295,Jaylin Williams,22,OKC,PF,47,9,784,0.439,0.529,0.399,0.577,0.767,0.594,0.136,0.692,94.0,97.0,111.0,106.0,98.0,103.0,56.0,164.0,15.0,8.1,2019699.0
296,Pelle Larsson,23,MIA,SG,55,8,782,0.438,0.528,0.337,0.517,0.672,0.546,0.3,0.468,94.0,97.0,94.0,95.0,86.0,95.0,124.0,111.0,-10.5,-13.9,1157153.0
297,Lindy Waters III,27,2TM,SG,52,9,778,0.369,0.444,0.344,0.498,0.727,0.504,0.044,0.747,79.0,82.0,96.0,92.0,93.0,88.0,18.0,177.0,-22.5,-36.5,2196970.0
298,Orlando Robinson,24,2TM,C,44,8,770,0.444,0.474,0.327,0.477,0.771,0.519,0.268,0.199,95.0,87.0,91.0,88.0,99.0,90.0,110.0,47.0,-34.5,-33.2,1691610.0
299,Gui Santos,22,GSW,PF,56,2,762,0.458,0.632,0.33,0.553,0.69,0.575,0.235,0.575,98.0,116.0,92.0,102.0,89.0,100.0,97.0,137.0,3.6,-0.6,1891857.0
300,Landry Shamet,27,NYK,SG,50,0,762,0.461,0.595,0.397,0.596,0.667,0.601,0.078,0.678,99.0,109.0,110.0,110.0,85.0,104.0,32.0,161.0,24.2,11.8,1343690.0
301,Andre Drummond,31,PHI,C,40,23,751,0.5,0.533,0.15,0.506,0.622,0.535,0.385,0.085,107.0,98.0,42.0,93.0,80.0,93.0,158.0,20.0,-17.2,-22.3,5000000.0
302,Jabari Walker,22,POR,SF,60,1,749,0.515,0.573,0.389,0.576,0.69,0.601,0.31,0.314,110.0,105.0,108.0,106.0,88.0,104.0,128.0,75.0,15.3,13.1,2019699.0
303,Jay Huff,26,MEM,C,64,2,748,0.515,0.724,0.405,0.648,0.786,0.666,0.184,0.656,110.0,133.0,112.0,119.0,101.0,116.0,76.0,156.0,63.7,59.1,2088033.0
304,Drew Eubanks,27,2TM,C,61,4,746,0.593,0.596,0.5,0.601,0.662,0.622,0.366,0.031,127.0,109.0,139.0,111.0,85.0,108.0,151.0,7.0,22.3,20.4,5000000.0
305,Talen Horton-Tucker,24,CHI,SG,58,0,724,0.457,0.544,0.336,0.527,0.735,0.567,0.337,0.419,98.0,100.0,93.0,97.0,94.0,98.0,139.0,100.0,-9.1,-6.0,2087519.0
306,Gary Harris,30,ORL,SG,48,3,711,0.383,0.469,0.356,0.519,0.583,0.524,0.09,0.759,82.0,86.0,99.0,96.0,75.0,91.0,37.0,180.0,-6.5,-14.4,7500000.0
307,Jett Howard,21,ORL,SF,60,0,701,0.374,0.566,0.296,0.479,0.696,0.491,0.088,0.71,80.0,104.0,82.0,88.0,89.0,85.0,36.0,169.0,-33.6,-46.6,5278320.0
308,DeAndre Jordan,36,DEN,C,56,5,691,0.65,0.65,0.0,0.65,0.422,0.621,0.457,0.0,139.0,119.0,0.0,120.0,54.0,108.0,188.0,0.0,29.9,15.2,2087519.0
309,Quinten Post,24,GSW,PF,42,14,686,0.449,0.526,0.408,0.582,0.778,0.595,0.099,0.653,96.0,97.0,113.0,107.0,100.0,103.0,41.0,155.0,21.4,10.6,438920.0
310,Blake Wesley,21,SAS,SG,58,0,683,0.435,0.5,0.293,0.481,0.623,0.51,0.328,0.312,93.0,92.0,81.0,89.0,80.0,88.0,135.0,74.0,-23.0,-28.3,2624280.0
311,Sandro Mamukelashvili,25,SAS,PF,61,0,681,0.502,0.675,0.373,0.609,0.741,0.628,0.206,0.573,107.0,124.0,103.0,112.0,95.0,109.0,85.0,136.0,36.8,31.8,2087519.0
312,Jalen Pickett,25,DEN,SG,49,4,666,0.428,0.468,0.396,0.539,0.75,0.545,0.044,0.561,92.0,86.0,110.0,99.0,96.0,95.0,18.0,133.0,-1.5,-11.5,1891857.0
313,Antonio Reeves,24,NOP,SG,44,6,660,0.456,0.521,0.395,0.558,0.8,0.579,0.141,0.52,98.0,96.0,110.0,103.0,103.0,100.0,58.0,124.0,7.6,1.5,1157153.0
314,Reed Sheppard,20,HOU,PG,52,3,654,0.351,0.371,0.338,0.452,0.813,0.465,0.067,0.594,75.0,68.0,94.0,83.0,104.0,81.0,28.0,141.0,-43.6,-54.5,10098960.0
315,Delon Wright,32,2TM,PG,40,7,635,0.344,0.431,0.274,0.42,0.6,0.44,0.191,0.557,74.0,79.0,76.0,77.0,77.0,76.0,79.0,132.0,-32.3,-38.6,2087519.0
316,Jericho Sims,26,2TM,C,53,5,632,0.634,0.634,0.0,0.634,0.615,0.639,0.183,0.0,136.0,116.0,0.0,117.0,79.0,111.0,75.0,0.0,12.8,9.6,2092344.0
317,Josh Okogie,26,2TM,SG,40,7,625,0.443,0.517,0.348,0.519,0.741,0.567,0.401,0.434,95.0,95.0,97.0,96.0,95.0,98.0,165.0,103.0,-10.2,-4.4,8250000.0
320,Zeke Nnaji,24,DEN,PF,57,4,608,0.496,0.596,0.327,0.557,0.614,0.574,0.312,0.369,106.0,109.0,91.0,103.0,79.0,100.0,128.0,88.0,3.9,-0.8,8888889.0
322,Pat Connaughton,32,MIL,SG,41,1,603,0.469,0.594,0.321,0.542,0.774,0.567,0.175,0.458,100.0,109.0,89.0,100.0,99.0,98.0,72.0,109.0,-0.2,-3.7,9423869.0
323,Jae'Sean Tate,29,HOU,SF,52,2,588,0.473,0.529,0.348,0.527,0.681,0.557,0.318,0.311,101.0,97.0,97.0,97.0,87.0,97.0,131.0,74.0,-4.7,-6.4,7565217.0
324,Olivier-Maxence Prosper,22,DAL,PF,52,4,584,0.402,0.472,0.235,0.437,0.645,0.484,0.437,0.293,86.0,87.0,65.0,80.0,83.0,84.0,180.0,70.0,-37.0,-38.0,2870400.0
325,Monte Morris,29,PHO,PG,45,0,571,0.426,0.477,0.36,0.505,0.857,0.546,0.215,0.441,91.0,88.0,100.0,93.0,110.0,95.0,89.0,105.0,-14.8,-13.0,2087519.0
326,John Konchar,28,MEM,SG,46,4,558,0.451,0.621,0.371,0.577,0.875,0.592,0.088,0.681,96.0,114.0,103.0,106.0,112.0,103.0,36.0,162.0,6.2,3.1,6165000.0
327,Dwight Powell,33,DAL,C,55,3,551,0.689,0.714,0.4,0.705,0.651,0.713,0.705,0.082,147.0,131.0,111.0,130.0,84.0,124.0,290.0,19.0,19.7,21.9,4000000.0
328,Dillon Jones,23,OKC,SF,54,3,551,0.383,0.5,0.254,0.444,0.607,0.464,0.211,0.474,82.0,92.0,71.0,82.0,78.0,81.0,87.0,112.0,-26.5,-32.5,2622360.0
329,Jaylen Clark,23,MIN,SG,40,4,522,0.467,0.493,0.431,0.558,0.784,0.598,0.308,0.425,100.0,90.0,120.0,103.0,101.0,104.0,127.0,101.0,3.7,6.0,492323.0
330,Rob Dillingham,20,MIN,PG,49,1,516,0.441,0.496,0.338,0.5,0.533,0.503,0.071,0.351,94.0,91.0,94.0,92.0,68.0,87.0,29.0,83.0,-18.2,-31.8,6262920.0
331,Craig Porter Jr.,24,CLE,PG,51,1,513,0.514,0.554,0.438,0.589,0.719,0.61,0.229,0.343,110.0,102.0,121.0,109.0,92.0,106.0,94.0,81.0,12.9,10.4,1891857.0
332,Jock Landale,29,HOU,C,42,3,500,0.533,0.556,0.423,0.569,0.675,0.59,0.263,0.171,114.0,102.0,117.0,105.0,87.0,102.0,108.0,41.0,7.9,4.6,8000000.0
333,Duop Reath,28,POR,C,46,0,469,0.422,0.6,0.321,0.524,0.909,0.552,0.133,0.639,90.0,110.0,89.0,97.0,117.0,96.0,55.0,152.0,-6.3,-8.4,2048780.0
335,Rayan Rupert,20,POR,SG,52,0,460,0.408,0.506,0.271,0.465,0.767,0.499,0.211,0.415,87.0,93.0,75.0,86.0,98.0,87.0,87.0,99.0,-22.2,-23.8,1891857.0
336,Jaylon Tyson,22,CLE,SG,47,3,453,0.43,0.484,0.345,0.497,0.792,0.523,0.161,0.389,92.0,89.0,96.0,91.0,102.0,91.0,66.0,92.0,-13.8,-16.9,3326160.0
337,Paul Reed,25,DET,C,45,0,438,0.507,0.561,0.286,0.535,0.762,0.573,0.296,0.197,109.0,103.0,79.0,99.0,98.0,99.0,122.0,47.0,-2.2,-0.9,3913234.0
338,Malaki Branham,21,SAS,SG,47,0,427,0.458,0.5,0.405,0.547,0.818,0.575,0.174,0.442,98.0,92.0,112.0,101.0,105.0,100.0,72.0,105.0,1.6,-0.7,3217920.0
339,Jordan Walsh,20,BOS,PF,52,1,403,0.361,0.536,0.273,0.452,0.583,0.464,0.145,0.663,77.0,98.0,76.0,83.0,75.0,81.0,60.0,157.0,-15.1,-19.7,1891857.0
340,Hunter Tyson,24,DEN,PF,51,2,400,0.375,0.478,0.311,0.471,0.75,0.506,0.233,0.617,80.0,88.0,86.0,87.0,96.0,88.0,96.0,146.0,-17.3,-18.5,1891857.0
341,Anthony Gill,32,WAS,PF,51,0,397,0.489,0.579,0.323,0.545,0.66,0.586,0.568,0.352,105.0,106.0,90.0,100.0,85.0,102.0,234.0,84.0,0.4,2.2,2237691.0
342,Alex Len,31,2TM,C,46,7,380,0.508,0.556,0.222,0.524,0.471,0.525,0.27,0.143,109.0,102.0,62.0,96.0,60.0,91.0,111.0,34.0,-2.4,-7.2,2831348.0
343,Johnny Furphy,20,IND,SG,50,0,379,0.38,0.476,0.3,0.462,0.818,0.506,0.239,0.543,81.0,87.0,83.0,85.0,105.0,88.0,98.0,129.0,-14.9,-14.2,1850842.0
344,Jaden Springer,22,2TM,SG,43,2,365,0.389,0.548,0.25,0.456,0.711,0.511,0.422,0.533,83.0,100.0,69.0,84.0,91.0,89.0,174.0,127.0,-15.7,-14.0,4772772.0
345,Doug McDermott,33,SAC,SF,42,3,342,0.427,0.375,0.436,0.615,0.6,0.617,0.043,0.863,91.0,69.0,121.0,113.0,77.0,107.0,18.0,205.0,16.9,9.6,2087519.0
346,Tristan Thompson,33,CLE,C,40,0,328,0.437,0.456,0.0,0.437,0.233,0.41,0.423,0.042,93.0,84.0,0.0,80.0,30.0,71.0,174.0,10.0,-15.1,-28.0,2087519.0
347,Jordan McLaughlin,28,2TM,PG,46,0,314,0.431,0.462,0.413,0.563,0.773,0.6,0.306,0.639,92.0,85.0,115.0,104.0,99.0,104.0,126.0,152.0,2.8,3.9,2087519.0
348,Isaac Jones,24,SAC,PF,40,0,304,0.651,0.68,0.375,0.669,0.639,0.678,0.434,0.096,139.0,125.0,104.0,123.0,82.0,118.0,179.0,23.0,20.9,20.1,152957.0
349,Tyler Kolek,23,NYK,PG,41,0,296,0.329,0.371,0.298,0.415,0.765,0.453,0.207,0.573,70.0,68.0,83.0,76.0,98.0,79.0,85.0,136.0,-21.1,-22.1,2087519.0
350,Josh Minott,22,MIN,SF,46,0,276,0.489,0.638,0.326,0.567,0.895,0.605,0.211,0.478,105.0,117.0,90.0,104.0,115.0,105.0,87.0,113.0,4.2,5.7,2019699.0
351,Kobe Brown,25,LAC,PF,40,0,272,0.458,0.587,0.231,0.5,0.714,0.513,0.097,0.361,98.0,108.0,64.0,92.0,92.0,89.0,40.0,86.0,-6.2,-9.5,2533920.0
